year,month,Qm
1921,4,33.61
1921,5,37.74
1921,6,45.01
1921,7,73.31
1921,8,212.11
1921,9,391.39
1921,10,293.24
1921,11,157.77
1921,12,112.06
1922,1,75
1922,2,50.89
1922,3,29.62
1922,4,40.78
1922,5,56.42
1922,6,53.48
1922,7,93.14
1922,8,162.86
1922,9,321.93
1922,10,230.26
1922,11,166.49
1922,12,110.33
1923,1,72.84
1923,2,48.99
1923,3,42.42
1923,4,37.5
1923,5,63.25
1923,6,87.35
1923,7,64.02
1923,8,251.42
1923,9,197.94
1923,10,259.89
1923,11,122
1923,12,89.86
1924,1,65.06
1924,2,43.98
1924,3,44.24
1924,4,55.38
1924,5,62.81
1924,6,100.57
1924,7,141.7
1924,8,338.69
1924,9,396.58
1924,10,232.76
1924,11,165.02
1924,12,129.86
1925,1,93.14
1925,2,60.57
1925,3,47.52
1925,4,49.25
1925,5,57.89
1925,6,77.16
1925,7,108.35
1925,8,150.77
1925,9,401.85
1925,10,225.16
1925,11,130.81
1925,12,103.77
1926,1,86.92
1926,2,55.99
1926,3,44.67
1926,4,34.47
1926,5,37.58
1926,6,70.11
1926,7,101.17
1926,8,245.38
1926,9,336.36
1926,10,368.5
1926,11,280.2
1926,12,170.29
1927,1,111.11
1927,2,72.75
1927,3,54.95
1927,4,63.94
1927,5,177.03
1927,6,169.6
1927,7,208.4
1927,8,239.24
1927,9,199.76
1927,10,521.17
1927,11,175.31
1927,12,114.91
1928,1,70.59
1928,2,44.41
1928,3,38.71
1928,4,40.18
1928,5,43.46
1928,6,147.66
1928,7,303.09
1928,8,229.48
1928,9,183.08
1928,10,169.69
1928,11,141.18
1928,12,85.8
1929,1,59.01
1929,2,45.36
1929,3,49.42
1929,4,39.14
1929,5,48.82
1929,6,91.24
1929,7,107.74
1929,8,329.1
1929,9,666.84
1929,10,227.75
1929,11,124.68
1929,12,97.89
1930,1,62.99
1930,2,39.05
1930,3,35.77
1930,4,33.18
1930,5,96.16
1930,6,85.88
1930,7,233.71
1930,8,247.19
1930,9,335.58
1930,10,222.74
1930,11,121.74
1930,12,83.46
1931,1,62.81
1931,2,39.23
1931,3,33.96
1931,4,29.86
1931,5,32.23
1931,6,28.62
1931,7,33.09
1931,8,94.95
1931,9,232.59
1931,10,73.09
1931,11,36.37
1931,12,37.15
1932,1,33.78
1932,2,30.07
1932,3,27.93
1932,4,35.2
1932,5,31.5
