year,rwi,sampDepth,site
1285,1.272,,BDFH
1286,1.124,,BDFH
1287,1.142,,BDFH
1288,1.122,,BDFH
1289,1.11,,BDFH
1290,1.047,,BDFH
1291,0.971,,BDFH
1292,0.938,,BDFH
1293,1.01,,BDFH
1294,0.91,,BDFH
1295,0.921,,BDFH
1296,0.903,,BDFH
1297,0.994,,BDFH
1298,0.926,,BDFH
1299,0.94,,BDFH
1300,0.904,,BDFH
1301,0.762,,BDFH
1302,0.908,,BDFH
1303,0.892,,BDFH
1304,0.94,,BDFH
1305,0.952,,BDFH
1306,0.897,,BDFH
1307,1.2,,BDFH
1308,0.942,,BDFH
1309,1.047,,BDFH
1310,0.867,,BDFH
1311,1.144,,BDFH
1312,1.084,,BDFH
1313,1.171,,BDFH
1314,1.053,,BDFH
1315,1.151,,BDFH
1316,1.179,,BDFH
1317,1.168,,BDFH
1318,1.008,,BDFH
1319,0.982,,BDFH
1320,0.976,,BDFH
1321,0.838,,BDFH
1322,1.029,,BDFH
1323,1.063,,BDFH
1324,0.868,,BDFH
1325,1.204,,BDFH
1326,1.098,,BDFH
1327,1.009,,BDFH
1328,0.985,,BDFH
1329,1.053,,BDFH
1330,0.991,,BDFH
1331,1.064,,BDFH
1332,1.067,,BDFH
1333,1.106,,BDFH
1334,1.133,,BDFH
1335,1.079,,BDFH
1336,1.193,,BDFH
1337,1.097,,BDFH
1338,1.047,,BDFH
1339,0.99,,BDFH
1340,0.95,,BDFH
1341,1.03,,BDFH
1342,0.946,,BDFH
1343,1.121,,BDFH
1344,1.069,,BDFH
1345,1.003,,BDFH
1346,0.875,,BDFH
1347,0.944,,BDFH
1348,1.036,,BDFH
1349,0.872,,BDFH
1350,1.054,,BDFH
1351,0.897,,BDFH
1352,0.8,,BDFH
1353,0.735,,BDFH
1354,0.842,,BDFH
1355,0.945,,BDFH
1356,0.953,,BDFH
1357,0.863,,BDFH
1358,0.865,,BDFH
1359,0.934,,BDFH
1360,0.971,,BDFH
1361,0.901,,BDFH
1362,0.835,,BDFH
1363,0.826,,BDFH
1364,0.739,,BDFH
1365,0.906,,BDFH
1366,0.956,,BDFH
1367,1.013,,BDFH
1368,0.791,,BDFH
1369,1.145,,BDFH
1370,0.833,,BDFH
1371,1.249,,BDFH
1372,0.923,,BDFH
1373,0.977,,BDFH
1374,0.738,,BDFH
1375,0.888,,BDFH
1376,1.072,,BDFH
1377,0.991,,BDFH
1378,0.902,,BDFH
1379,0.927,,BDFH
1380,0.987,,BDFH
1381,0.791,,BDFH
1382,1.01,,BDFH
1383,1.122,,BDFH
1384,0.838,,BDFH
1385,0.979,,BDFH
1386,0.997,,BDFH
1387,1.042,,BDFH
1388,1.075,,BDFH
1389,1.024,,BDFH
1390,1.13,,BDFH
1391,1.011,,BDFH
1392,1.029,,BDFH
1393,0.968,,BDFH
1394,0.964,,BDFH
1395,1.17,,BDFH
1396,1.26,,BDFH
1397,1.277,,BDFH
1398,1.263,,BDFH
1399,1.313,,BDFH
1400,1.187,,BDFH
1401,1.141,,BDFH
1402,0.937,,BDFH
1403,0.863,,BDFH
1404,0.788,,BDFH
1405,0.852,,BDFH
1406,1.102,,BDFH
1407,1.099,,BDFH
1408,1.069,,BDFH
1409,0.953,,BDFH
1410,1.289,,BDFH
1411,1.026,,BDFH
1412,0.994,,BDFH
1413,0.957,,BDFH
1414,1.14,,BDFH
1415,0.978,,BDFH
1416,0.885,,BDFH
1417,0.773,,BDFH
