year,site,do18
1705,MCC,-0.575
1706,MCC,-0.476
1707,MCC,-2.142
1708,MCC,0.101
1709,MCC,1.174
1710,MCC,-1.732
1711,MCC,-0.2
1712,MCC,-0.469
1713,MCC,-0.798
1714,MCC,-2.638
1715,MCC,-3.2
1716,MCC,-2.671
1717,MCC,-1.371
1718,MCC,-0.65
1719,MCC,0.584
1720,MCC,-1.221
1721,MCC,1.117
1722,MCC,1.34
1723,MCC,1.783
1724,MCC,-1.244
1725,MCC,-0.275
1726,MCC,-0.469
1727,MCC,-0.689
1728,MCC,0.188
1729,MCC,0.33
1730,MCC,-3.994
1731,MCC,-0.685
1732,MCC,-1.426
1733,MCC,-2.76
1734,MCC,-0.699
1735,MCC,-3.408
1736,MCC,0.541
1737,MCC,0.236
1738,MCC,-2.466
1739,MCC,-0.055
1740,MCC,0.125
1741,MCC,-1.265
1742,MCC,-1.94
1743,MCC,-1.069
1744,MCC,-0.701
1745,MCC,-1.405
1746,MCC,-0.322
1747,MCC,1.098
1748,MCC,1.511
1749,MCC,-0.238
1750,MCC,-0.869
1751,MCC,-0.162
1752,MCC,-1.387
1753,MCC,-3.588
1754,MCC,-2.598
1755,MCC,0.587
1756,MCC,-2.218
1757,MCC,-2.032
1758,MCC,0.22
1759,MCC,0.262
1760,MCC,-0.85
1761,MCC,0.587
1762,MCC,-0.859
1763,MCC,1.601
1764,MCC,-1.089
1765,MCC,0.712
1766,MCC,-2.083
1767,MCC,-2.35
1768,MCC,-1.447
1769,MCC,0.852
1770,MCC,1.409
1771,MCC,-2.447
1772,MCC,-1.745
1773,MCC,-0.367
1774,MCC,-1.615
1775,MCC,-2.118
1776,MCC,-1.097
1777,MCC,-0.448
1778,MCC,-0.449
1779,MCC,0.759
1780,MCC,-1.487
1781,MCC,0.932
1782,MCC,0.363
1783,MCC,4.421
1784,MCC,0.383
1785,MCC,-3.251
1786,MCC,0.664
1787,MCC,-0.5
1788,MCC,-0.13
1789,MCC,-1.173
1790,MCC,-0.378
1791,MCC,-1.18
1792,MCC,1.329
1793,MCC,2.184
1794,MCC,-0.771
1795,MCC,0.591
1796,MCC,0.032
1797,MCC,-2.133
1798,MCC,-0.983
1799,MCC,-0.238
1800,MCC,-2.714
1801,MCC,-2.851
1802,MCC,-2.287
1803,MCC,0.154
1804,MCC,-0.251
1805,MCC,-0.734
1806,MCC,-2.346
1807,MCC,-1.523
1808,MCC,0.917
