year,day,month,Q
1921,1,Apr,14
1921,2,Apr,14
1921,3,Apr,13
1921,4,Apr,13
1921,5,Apr,13
1921,6,Apr,13
1921,7,Apr,12
1921,8,Apr,12
1921,9,Apr,11
1921,10,Apr,11
1921,11,Apr,11
1921,12,Apr,10
1921,13,Apr,11
1921,14,Apr,11
1921,15,Apr,11
1921,16,Apr,10
1921,17,Apr,10
1921,18,Apr,12
1921,19,Apr,16
1921,20,Apr,16
1921,21,Apr,16
1921,22,Apr,16
1921,23,Apr,16
1921,24,Apr,16
1921,25,Apr,16
1921,26,Apr,13
1921,27,Apr,13
1921,28,Apr,13
1921,29,Apr,13
1921,30,Apr,13
1922,1,Apr,14
1922,2,Apr,14
1922,3,Apr,13
1922,4,Apr,13
1922,5,Apr,13
1922,6,Apr,13
1922,7,Apr,13
1922,8,Apr,13
1922,9,Apr,13
1922,10,Apr,13
1922,11,Apr,12
1922,12,Apr,12
1922,13,Apr,12
1922,14,Apr,12
1922,15,Apr,12
1922,16,Apr,12
1922,17,Apr,12
1922,18,Apr,12
1922,19,Apr,12
1922,20,Apr,17
1922,21,Apr,16
1922,22,Apr,16
1922,23,Apr,19
1922,24,Apr,27
1922,25,Apr,30
1922,26,Apr,27
1922,27,Apr,26
1922,28,Apr,22
1922,29,Apr,16
1922,30,Apr,16
1923,1,Apr,17
1923,2,Apr,17
1923,3,Apr,16
1923,4,Apr,16
1923,5,Apr,16
1923,6,Apr,15
1923,7,Apr,15
1923,8,Apr,15
1923,9,Apr,15
1923,10,Apr,15
1923,11,Apr,15
1923,12,Apr,14
1923,13,Apr,14
1923,14,Apr,14
1923,15,Apr,14
1923,16,Apr,14
1923,17,Apr,14
1923,18,Apr,16
1923,19,Apr,14
1923,20,Apr,14
1923,21,Apr,14
1923,22,Apr,13
1923,23,Apr,13
1923,24,Apr,13
1923,25,Apr,13
1923,26,Apr,13
1923,27,Apr,13
1923,28,Apr,12
1923,29,Apr,14
1923,30,Apr,16
1924,1,Apr,20
1924,2,Apr,20
1924,3,Apr,20
1924,4,Apr,20
1924,5,Apr,20
1924,6,Apr,20
1924,7,Apr,19
1924,8,Apr,19
1924,9,Apr,19
1924,10,Apr,19
1924,11,Apr,20
1924,12,Apr,20
1924,13,Apr,19
1924,14,Apr,19
1924,15,Apr,19
1924,16,Apr,18
1924,17,Apr,18
1924,18,Apr,18
1924,19,Apr,17
1924,20,Apr,17
1924,21,Apr,17
1924,22,Apr,17
1924,23,Apr,20
1924,24,Apr,20
1924,25,Apr,32
1924,26,Apr,34
1924,27,Apr,33
1924,28,Apr,30
1924,29,Apr,29
1924,30,Apr,28
1925,1,Apr,15
1925,2,Apr,15
1925,3,Apr,15
1925,4,Apr,15
1925,5,Apr,15
1925,6,Apr,15
1925,7,Apr,15
1925,8,Apr,14
1925,9,Apr,14
1925,10,Apr,18
1925,11,Apr,21
1925,12,Apr,21
1925,13,Apr,22
1925,14,Apr,22
1925,15,Apr,22
1925,16,Apr,24
1925,17,Apr,24
1925,18,Apr,24
1925,19,Apr,24
1925,20,Apr,24
1925,21,Apr,24
1925,22,Apr,23
1925,23,Apr,22
1925,24,Apr,19
1925,25,Apr,18
1925,26,Apr,18
1925,27,Apr,17
1925,28,Apr,17
1925,29,Apr,17
1925,30,Apr,16
1926,1,Apr,16
1926,2,Apr,16
1926,3,Apr,16
1926,4,Apr,16
1926,5,Apr,15
1926,6,Apr,15
1926,7,Apr,15
1926,8,Apr,14
1926,9,Apr,14
1926,10,Apr,14
1926,11,Apr,14
1926,12,Apr,13
1926,13,Apr,13
1926,14,Apr,13
1926,15,Apr,13
1926,16,Apr,13
1926,17,Apr,13
1926,18,Apr,13
1926,19,Apr,13
1926,20,Apr,13
1926,21,Apr,12
1926,22,Apr,12
1926,23,Apr,12
1926,24,Apr,12
1926,25,Apr,12
1926,26,Apr,12
1926,27,Apr,12
1926,28,Apr,11
1926,29,Apr,11
1926,30,Apr,11
1927,1,Apr,17
1927,2,Apr,17
1927,3,Apr,17
1927,4,Apr,17
1927,5,Apr,17
1927,6,Apr,17
1927,7,Apr,17
1927,8,Apr,20
1927,9,Apr,19
1927,10,Apr,17
1927,11,Apr,17
1927,12,Apr,17
1927,13,Apr,17
1927,14,Apr,17
1927,15,Apr,22
1927,16,Apr,22
1927,17,Apr,54
1927,18,Apr,58
1927,19,Apr,43
1927,20,Apr,36
1927,21,Apr,28
1927,22,Apr,25
1927,23,Apr,24
1927,24,Apr,21
1927,25,Apr,18
1927,26,Apr,34
1927,27,Apr,28
1927,28,Apr,28
1927,29,Apr,28
1927,30,Apr,28
1928,1,Apr,12
1928,2,Apr,12
1928,3,Apr,12
1928,4,Apr,12
1928,5,Apr,18
1928,6,Apr,17
1928,7,Apr,17
1928,8,Apr,16
1928,9,Apr,16
1928,10,Apr,13
1928,11,Apr,13
1928,12,Apr,13
1928,13,Apr,13
1928,14,Apr,17
1928,15,Apr,17
1928,16,Apr,17
1928,17,Apr,17
1928,18,Apr,17
1928,19,Apr,17
