season,year,Qa
NJ,1922,576.02
NJ,1923,629.17
NJ,1924,583.9
NJ,1925,680.41
NJ,1926,564.32
NJ,1927,1099.87
NJ,1928,675.23
NJ,1929,559.97
NJ,1930,575.6
NJ,1931,431.91
NJ,1932,335.75
NJ,1933,649.25
NJ,1934,632.19
NJ,1935,600.91
NJ,1936,844.14
NJ,1937,570.67
NJ,1938,1031.37
NJ,1939,974.85
NJ,1940,1102.03
NJ,1941,784.93
NJ,1942,858.72
NJ,1943,818.48
NJ,1944,1018.82
NJ,1945,1100.03
NJ,1946,768.53
NJ,1947,669.69
NJ,1948,710.89
NJ,1949,722.97
NJ,1950,1151.52
NJ,1951,1087.87
NJ,1952,803.09
NJ,1953,904.67
NJ,1954,998.78
NJ,1955,647.74
NJ,1956,589.73
NJ,1957,570.13
NJ,1958,366.6
NJ,1959,343.2
NJ,1960,357.25
NJ,1961,589.05
NJ,1962,599.46
NJ,1963,370.64
NJ,1964,998.21
NJ,1965,649.59
NJ,1966,805.49
NJ,1967,566.15
NJ,1968,548.26
NJ,1969,487.99
NJ,1970,833.78
NJ,1971,989.71
NJ,1972,818.75
NJ,1973,1038.21
NJ,1974,922.9
NJ,1975,1116.74
NJ,1976,967.8
NJ,1977,642.93
NJ,1978,781.72
NJ,1979,672.02
NJ,1980,412.34
NJ,1981,659.53
NJ,1982,790.69
NJ,1983,289.26
NJ,1984,699.65
NJ,1985,382.25
NJ,1986,882.975757593226
NJ,1987,605.868822678699
NJ,1988,1062.56701953332
NJ,1989,561.555787190882
NJ,1990,451.738375126651
NJ,1991,482.452743073149
NJ,1992,363.600814194708
NJ,1993,687.596765387529
NJ,1994,916.122501379285
NJ,1995,440.146579201838
NJ,1996,483.192606887584
NJ,1997,407.944509603207
NJ,1998,463.098168185596
NJ,1999,527.75356590599
NJ,2000,711.609266083842
NJ,2001,688.893034146715
NJ,2002,609.198229295548
NJ,2003,928.235241088233
NJ,2004,483.712152118832
NJ,2005,537.983028861537
JO,1922,808.19
JO,1923,773.27
JO,1924,1109.73
JO,1925,886.13
JO,1926,1051.41
JO,1927,1168.57
JO,1928,885.34
JO,1929,1331.43
JO,1930,1039.22
JO,1931,433.72
JO,1932,1046
JO,1933,1751.42
JO,1934,1091.41
JO,1935,1228.09
JO,1936,864.44
JO,1937,1304.73
JO,1938,1810.43
JO,1939,1763.69
JO,1940,1077.93
JO,1941,1032.49
JO,1942,1568.95
JO,1943,1673.96
JO,1944,883.36
JO,1945,1535.93
JO,1946,938.92
JO,1947,1277.87
JO,1948,1140.04
JO,1949,1504.72
JO,1950,1448.66
JO,1951,1513.46
JO,1952,1506.29
JO,1953,1421.2
JO,1954,854.22
JO,1955,1231.11
JO,1956,1631.23
JO,1957,976.41
JO,1958,763.52
JO,1959,1247
JO,1960,780.05
JO,1961,1353.2
JO,1962,827.7
JO,1963,1125.19
JO,1964,1269.56
JO,1965,923.46
JO,1966,1003
JO,1967,1267.16
JO,1968,961.64
JO,1969,1212.62
JO,1970,2272.85
JO,1971,2842
JO,1972,1117.64
JO,1973,3280.17
JO,1974,1352.51
JO,1975,2570.49
JO,1976,975.47
JO,1977,1137.93
JO,1978,2161.9
JO,1979,638.54
JO,1980,1148.43
JO,1981,1379.1
JO,1982,656.49
JO,1983,718.09
JO,1984,951.79
JO,1985,665.59
JO,1986,964.347155490639
JO,1987,1218.76824001899
JO,1988,876.495049808683
JO,1989,648.165362955593
JO,1990,599.323723433828
JO,1991,895.693120347209
JO,1992,762.713083753879
JO,1993,854.948586830613
JO,1994,1686.14043147657
JO,1995,1486.00845350929
JO,1996,1173.95841626334
JO,1997,1310.4754800794
JO,1998,457.261314552663
JO,1999,810.498640417454
JO,2000,523.660164351221
JO,2001,1209.18159109615
JO,2002,1161.21876703603
JO,2003,925.165553819053
JO,2004,1304.22752854299
JO,2005,1850.2131561004
WY,1922,1384.21
WY,1923,1402.44
WY,1924,1693.63
WY,1925,1566.54
WY,1926,1615.73
WY,1927,2268.44
WY,1928,1560.57
WY,1929,1891.4
WY,1930,1614.82
WY,1931,865.63
WY,1932,1381.75
WY,1933,2400.67
WY,1934,1723.6
WY,1935,1829
WY,1936,1708.58
WY,1937,1875.4
WY,1938,2841.8
WY,1939,2738.54
WY,1940,2179.96
WY,1941,1817.42
WY,1942,2427.67
WY,1943,2492.44
WY,1944,1902.18
WY,1945,2635.96
WY,1946,1707.45
WY,1947,1947.56
WY,1948,1850.93
WY,1949,2227.69
WY,1950,2600.18
WY,1951,2601.33
WY,1952,2309.38
WY,1953,2325.87
WY,1954,1853
WY,1955,1878.85
WY,1956,2220.96
WY,1957,1546.54
WY,1958,1130.12
WY,1959,1590.2
WY,1960,1137.3
WY,1961,1942.25
WY,1962,1427.16
WY,1963,1495.83
WY,1964,2267.77
WY,1965,1573.05
WY,1966,1808.49
WY,1967,1833.31
WY,1968,1509.9
WY,1969,1700.61
WY,1970,3106.63
WY,1971,3831.71
WY,1972,1936.39
WY,1973,4318.38
WY,1974,2275.41
WY,1975,3687.23
WY,1976,1943.27
WY,1977,1780.86
WY,1978,2943.62
WY,1979,1310.56
WY,1980,1560.77
WY,1981,2038.63
WY,1982,1447.18
WY,1983,1007.35
WY,1984,1651.44
WY,1985,1047.84
WY,1986,1847.32291308387
WY,1987,1824.63706269769
WY,1988,1939.062069342
WY,1989,1209.72115014647
WY,1990,1051.06209856048
WY,1991,1378.14586342036
WY,1992,1126.31389794859
WY,1993,1542.54535221814
WY,1994,2602.26293285585
WY,1995,1926.15503271112
WY,1996,1657.15102315093
WY,1997,1718.41998968261
WY,1998,920.359482738259
WY,1999,1338.25220632344
WY,2000,1235.26943043506
WY,2001,1898.07462524286
WY,2002,1770.41699633158
WY,2003,1853.40079490729
WY,2004,1787.93968066182
WY,2005,2388.19618496193
